sentence_text,title,article_link,paragraph_text,PMID,DateCompleted,ChemicalList,AbstractText,PubDate,cleaned_sentence_text,sentence_html
A pilot study of the effects of behavioral weight loss treatment on fibromyalgia symptoms .,A pilot study of the effects of behavioral weight loss treatment on fibromyalgia symptoms.,https://pubmed.ncbi.nlm.nih.gov/16253617/,"A pilot study of the effects of behavioral weight loss treatment on fibromyalgia symptoms. Previous studies have found a relation between weight loss and pain severity in various chronic pain populations. However, there has been little research examining the relation between body mass index (BMI) and fibromyalgia syndrome (FMS). The purpose of this pilot study was to investigate the relationship between BMI and FMS symptoms and to determine if FMS symptoms would decrease following weight loss.",16253617,2006-03-07,,"Previous studies have found a relation between weight loss and pain severity in various chronic pain populations. However, there has been little research examining the relation between body mass index (BMI) and fibromyalgia syndrome (FMS). The purpose of this pilot study was to investigate the relationship between BMI and FMS symptoms and to determine if FMS symptoms would decrease following weight loss.","{'Year': '2005', 'Month': 'Nov'}",a pilot study of the effects of behavioral weight loss treatment on fibromyalgia symptoms .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">a pilot study of the effects of behavioral weight loss treatment on fibromyalgia symptoms .</div>"
There was a significant improvement in the mean intensity of pain ( F = 14.3 ; p = 0.0001 ) and in the disability caused by fibromyalgia ( F = 42.7 ; p = 0.0001 ) from baseline to week 12 of treatment .,Venlafaxine treatment of fibromyalgia.,https://pubmed.ncbi.nlm.nih.gov/14565792/,There was a significant improvement in the mean intensity of pain (F = 14.3; p = 0.0001) and in the disability caused by fibromyalgia (F = 42.7; p = 0.0001) from baseline to week 12 of treatment. The depression and anxiety scores also decreased significantly from baseline to week 12. The improvement in the FIQ scores did not correlate with the decrease of scores in both patient- and physician-rated depression and anxiety inventories. Change in pain scores also was not correlated with the change in depression and anxiety scores.,14565792,2004-03-05,"['Adrenergic Uptake Inhibitors', 'Cyclohexanols', 'Serotonin Uptake Inhibitors', 'Venlafaxine Hydrochloride']","Although the pathophysiology of fibromyalgia is unknown, central monoaminergic transmission may play a role. Antidepressants have proved to be successful in alleviating symptoms of fibromyalgia. Medications that act on multiple neurotransmitters may be more effective in symptom management.","{'Year': '2003', 'Month': 'Nov'}",there was a significant improvement in the mean intensity of pain ( f = 14.3 ; p = 0.0001 ) and in the disability caused by fibromyalgia ( f = 42.7 ; p = 0.0001 ) from baseline to week 12 of treatment .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">there was a significant improvement in the mean intensity of pain ( f = 14.3 ; p = 0.0001 ) and in the disability caused by fibromyalgia ( f = 42.7 ; p = 0.0001 ) from baseline to week 12 of treatment .</div>"
"Duloxetine , a dual acting norepinephrine serotonin reuptake inhibitor , is a relatively new pharmacologic agent utilized in the treatment of depression , as well as diabetic neuropathic pain , fibromyalgia , and female stress urinary incontinence .","Adverse events, toxicity and post-mortem data on duloxetine: case reports and literature survey.",https://pubmed.ncbi.nlm.nih.gov/20382351/,"Duloxetine, a dual acting norepinephrine serotonin reuptake inhibitor, is a relatively new pharmacologic agent utilized in the treatment of depression, as well as diabetic neuropathic pain, fibromyalgia, and female stress urinary incontinence. This expanding scope of usage will inevitably lead to its eventual appearance during routine post-mortem toxicologic assays. Currently there is a paucity of post-mortem toxicologic data concerning duloxetine. The current report provides six additional case reports of post-mortem duloxetine levels, along with a review of duloxetine's pharmacokinetics, and the toxicologic manifestations which have been reported in the literature. The post-mortem levels reported, including the highest level recorded to date, are integrated with previously published reports to generate a foundation for a nascent guide to the interpretation of post-mortem duloxetine levels that could be encountered during routine post-mortem toxicologic analyses, and establish a basis upon which the establishment of toxic and lethal thresholds for this compound can be further elucidated with greater clarity.",20382351,2010-07-15,"['Analgesics, Opioid', 'Serotonin Uptake Inhibitors', 'Thiophenes', 'Duloxetine Hydrochloride', 'Fentanyl']","Duloxetine, a dual acting norepinephrine serotonin reuptake inhibitor, is a relatively new pharmacologic agent utilized in the treatment of depression, as well as diabetic neuropathic pain, fibromyalgia, and female stress urinary incontinence. This expanding scope of usage will inevitably lead to its eventual appearance during routine post-mortem toxicologic assays. Currently there is a paucity of post-mortem toxicologic data concerning duloxetine. The current report provides six additional case reports of post-mortem duloxetine levels, along with a review of duloxetine's pharmacokinetics, and the toxicologic manifestations which have been reported in the literature. The post-mortem levels reported, including the highest level recorded to date, are integrated with previously published reports to generate a foundation for a nascent guide to the interpretation of post-mortem duloxetine levels that could be encountered during routine post-mortem toxicologic analyses, and establish a basis upon which the establishment of toxic and lethal thresholds for this compound can be further elucidated with greater clarity.","{'Year': '2010', 'Month': 'May'}","duloxetine , a dual acting norepinephrine serotonin reuptake inhibitor , is a relatively new pharmacologic agent utilized in the treatment of depression , as well as diabetic neuropathic pain , fibromyalgia , and female stress urinary incontinence .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    duloxetine
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 , a dual acting 
<mark class=""entity"" style=""background: $((GENE_OR_GENE_PRODUCT)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    norepinephrine serotonin
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">GENE_OR_GENE_PRODUCT</span>
</mark>
 reuptake inhibitor , is a relatively new pharmacologic agent utilized in the treatment of depression , as well as diabetic neuropathic pain , fibromyalgia , and female stress 
<mark class=""entity"" style=""background: $((ORGANISM_SUBDIVISION)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    urinary
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM_SUBDIVISION</span>
</mark>
 incontinence .</div>"
"Therefore , we evaluated low ( 1   W ) , intermediate ( 42   W ) and high level ( 75   W ) HILT in a woman with long-standing fibromyalgia syndrome which was resistant to both standard pharmacotherapy and treatment in an interdisciplinary pain management program .",Treatment of drug-resistant fibromyalgia symptoms using high-intensity laser therapy: a case-based review.,https://pubmed.ncbi.nlm.nih.gov/29080932/,"Fibromyalgia is a chronic musculoskeletal condition characterized by widespread pain in the body and is associated with tender points at the shoulder, back and hip regions. A wide variety of pharmacologic drugs and dietary supplements have been used with limited success in treating the musculoskeletal pain. Early clinical studies with low level laser therapy (LLLT) alone or in combination with drugs commonly used to treat fibromyalgia suggested that LLLT may be effective in reducing musculoskeletal pain and stiffness, as well as the number of tender locations. However, a sham-controlled study reported that LLLT was not significantly better than the sham treatment and kinesiotape. Preliminary studies with high-intensity laser therapy (HILT) suggest that it may be more effective than LLLT for treating chronic pain syndromes. Therefore, we evaluated low (1 W), intermediate (42 W) and high level (75 W) HILT in a woman with long-standing fibromyalgia syndrome which was resistant to both standard pharmacotherapy and treatment in an interdisciplinary pain management program. The patient received a series of treatments with a HILT device (Phoenix Thera-lase) at a wavelength of 1275 nm administered at both the paraspinous region and tender points in the shoulder and hip regions. Although the 1 W treatment produced minimal symptom relief, both the 42 and the 75 W treatments produced a dramatic reduction in her overall pain, improved quality of sleep, and increased her level of physical activity for 4-10 days after these treatment sessions. This case illustrates the potential beneficial effects of using higher power levels of HILT for patients with fibromyalgia syndrome who have failed to respond to conventional interdisciplinary treatment regimens.",29080932,2018-09-24,['Analgesics'],"Fibromyalgia is a chronic musculoskeletal condition characterized by widespread pain in the body and is associated with tender points at the shoulder, back and hip regions. A wide variety of pharmacologic drugs and dietary supplements have been used with limited success in treating the musculoskeletal pain. Early clinical studies with low level laser therapy (LLLT) alone or in combination with drugs commonly used to treat fibromyalgia suggested that LLLT may be effective in reducing musculoskeletal pain and stiffness, as well as the number of tender locations. However, a sham-controlled study reported that LLLT was not significantly better than the sham treatment and kinesiotape. Preliminary studies with high-intensity laser therapy (HILT) suggest that it may be more effective than LLLT for treating chronic pain syndromes. Therefore, we evaluated low (1 W), intermediate (42 W) and high level (75 W) HILT in a woman with long-standing fibromyalgia syndrome which was resistant to both standard pharmacotherapy and treatment in an interdisciplinary pain management program. The patient received a series of treatments with a HILT device (Phoenix Thera-lase) at a wavelength of 1275 nm administered at both the paraspinous region and tender points in the shoulder and hip regions. Although the 1 W treatment produced minimal symptom relief, both the 42 and the 75 W treatments produced a dramatic reduction in her overall pain, improved quality of sleep, and increased her level of physical activity for 4-10 days after these treatment sessions. This case illustrates the potential beneficial effects of using higher power levels of HILT for patients with fibromyalgia syndrome who have failed to respond to conventional interdisciplinary treatment regimens.","{'Year': '2018', 'Month': 'Mar'}","therefore , we evaluated low ( 1   w ) , intermediate ( 42   w ) and high level ( 75   w ) hilt in a woman with long-standing fibromyalgia syndrome which was resistant to both standard pharmacotherapy and treatment in an interdisciplinary pain management program .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">therefore , we evaluated low ( 1   w ) , intermediate ( 42   w ) and high level ( 75   w ) hilt in a 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    woman
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with long-standing fibromyalgia syndrome which was resistant to both standard pharmacotherapy and treatment in an interdisciplinary pain management program .</div>"
This case illustrates the potential beneficial effects of using higher power levels of HILT for patients with fibromyalgia syndrome who have failed to respond to conventional interdisciplinary treatment regimens .,Treatment of drug-resistant fibromyalgia symptoms using high-intensity laser therapy: a case-based review.,https://pubmed.ncbi.nlm.nih.gov/29080932/,"Fibromyalgia is a chronic musculoskeletal condition characterized by widespread pain in the body and is associated with tender points at the shoulder, back and hip regions. A wide variety of pharmacologic drugs and dietary supplements have been used with limited success in treating the musculoskeletal pain. Early clinical studies with low level laser therapy (LLLT) alone or in combination with drugs commonly used to treat fibromyalgia suggested that LLLT may be effective in reducing musculoskeletal pain and stiffness, as well as the number of tender locations. However, a sham-controlled study reported that LLLT was not significantly better than the sham treatment and kinesiotape. Preliminary studies with high-intensity laser therapy (HILT) suggest that it may be more effective than LLLT for treating chronic pain syndromes. Therefore, we evaluated low (1 W), intermediate (42 W) and high level (75 W) HILT in a woman with long-standing fibromyalgia syndrome which was resistant to both standard pharmacotherapy and treatment in an interdisciplinary pain management program. The patient received a series of treatments with a HILT device (Phoenix Thera-lase) at a wavelength of 1275 nm administered at both the paraspinous region and tender points in the shoulder and hip regions. Although the 1 W treatment produced minimal symptom relief, both the 42 and the 75 W treatments produced a dramatic reduction in her overall pain, improved quality of sleep, and increased her level of physical activity for 4-10 days after these treatment sessions. This case illustrates the potential beneficial effects of using higher power levels of HILT for patients with fibromyalgia syndrome who have failed to respond to conventional interdisciplinary treatment regimens.",29080932,2018-09-24,['Analgesics'],"Fibromyalgia is a chronic musculoskeletal condition characterized by widespread pain in the body and is associated with tender points at the shoulder, back and hip regions. A wide variety of pharmacologic drugs and dietary supplements have been used with limited success in treating the musculoskeletal pain. Early clinical studies with low level laser therapy (LLLT) alone or in combination with drugs commonly used to treat fibromyalgia suggested that LLLT may be effective in reducing musculoskeletal pain and stiffness, as well as the number of tender locations. However, a sham-controlled study reported that LLLT was not significantly better than the sham treatment and kinesiotape. Preliminary studies with high-intensity laser therapy (HILT) suggest that it may be more effective than LLLT for treating chronic pain syndromes. Therefore, we evaluated low (1 W), intermediate (42 W) and high level (75 W) HILT in a woman with long-standing fibromyalgia syndrome which was resistant to both standard pharmacotherapy and treatment in an interdisciplinary pain management program. The patient received a series of treatments with a HILT device (Phoenix Thera-lase) at a wavelength of 1275 nm administered at both the paraspinous region and tender points in the shoulder and hip regions. Although the 1 W treatment produced minimal symptom relief, both the 42 and the 75 W treatments produced a dramatic reduction in her overall pain, improved quality of sleep, and increased her level of physical activity for 4-10 days after these treatment sessions. This case illustrates the potential beneficial effects of using higher power levels of HILT for patients with fibromyalgia syndrome who have failed to respond to conventional interdisciplinary treatment regimens.","{'Year': '2018', 'Month': 'Mar'}",this case illustrates the potential beneficial effects of using higher power levels of hilt for patients with fibromyalgia syndrome who have failed to respond to conventional interdisciplinary treatment regimens .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">this case illustrates the potential beneficial effects of using higher power levels of hilt for 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with fibromyalgia syndrome who have failed to respond to conventional interdisciplinary treatment regimens .</div>"
"Individualised acupuncture treatment in primary care in patients with fibromyalgia proved efficacious in terms of pain relief , compared with placebo treatment .",Acupuncture for fibromyalgia in primary care: a randomised controlled trial.,https://pubmed.ncbi.nlm.nih.gov/26879181/,"Individualised acupuncture treatment in primary care in patients with fibromyalgia proved efficacious in terms of pain relief, compared with placebo treatment. The effect persisted at 1 year, and its side effects were mild and infrequent. Therefore, the use of individualised acupuncture in patients with fibromyalgia is recommended.",26879181,2017-02-16,,To evaluate the efficacy of an individualised acupuncture protocol for patients with fibromyalgia.,"{'Year': '2016', 'Month': 'Aug'}","individualised acupuncture treatment in primary care in patients with fibromyalgia proved efficacious in terms of pain relief , compared with placebo treatment .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">individualised acupuncture treatment in primary care in 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with fibromyalgia proved efficacious in terms of pain relief , compared with placebo treatment .</div>"
"In this review , we aim to elucidate the different mechanisms of HBOT and aerobic exercise in attenuating pain as adjuvant therapy in the multidisciplinary treatment strategy of chronic pain , and more particularly fibromyalgia .",Hyperbaric oxygen and aerobic exercise in the long-term treatment of fibromyalgia: A narrative review.,https://pubmed.ncbi.nlm.nih.gov/30399600/,"Chronic pain is one of the most common clinical presentations in the primary care settings. In the US, Fibromyalgia (FM) affects about 1-3% of adults and commonly occurs in adults between the ages of 40-50 years. FM causes widespread muscular pain and tenderness with hyperalgesia and allodynia and may be associated with other somatic complaints. Hyperbaric oxygen therapy (HBOT) has been utilized and has recently shown promising effects in the management of FM and other chronic pain disorders. In HBOT, the intermittent breathing of 100% oxygen in a pressurized chamber where the pressure is higher than 1 atmosphere absolute (ATA) has been utilized. HBOT exhibits a significant anti-inflammatory effect through reducing production of glial cells and inflammatory mediators which results in pain alleviation in different chronic pain conditions. HBOT can also influence neuroplasticity and affects the mitochondrial mechanisms resulting in functional brain changes. In addition to that, HBOT stimulates nitric oxide (NO) synthesis which helps in alleviating hyperalgesia and NO-dependent release of endogenous opioids which seemed to be the primary HBOT mechanism of antinociception. Moreover, aerobic exercise and meditative movement therapies (MMT) have gained attention for their role in pain alleviation through different anti-inflammatory and antioxidant mechanisms. In this review, we aim to elucidate the different mechanisms of HBOT and aerobic exercise in attenuating pain as adjuvant therapy in the multidisciplinary treatment strategy of chronic pain, and more particularly fibromyalgia.",30399600,2019-03-25,,"Chronic pain is one of the most common clinical presentations in the primary care settings. In the US, Fibromyalgia (FM) affects about 1-3% of adults and commonly occurs in adults between the ages of 40-50 years. FM causes widespread muscular pain and tenderness with hyperalgesia and allodynia and may be associated with other somatic complaints. Hyperbaric oxygen therapy (HBOT) has been utilized and has recently shown promising effects in the management of FM and other chronic pain disorders. In HBOT, the intermittent breathing of 100% oxygen in a pressurized chamber where the pressure is higher than 1 atmosphere absolute (ATA) has been utilized. HBOT exhibits a significant anti-inflammatory effect through reducing production of glial cells and inflammatory mediators which results in pain alleviation in different chronic pain conditions. HBOT can also influence neuroplasticity and affects the mitochondrial mechanisms resulting in functional brain changes. In addition to that, HBOT stimulates nitric oxide (NO) synthesis which helps in alleviating hyperalgesia and NO-dependent release of endogenous opioids which seemed to be the primary HBOT mechanism of antinociception. Moreover, aerobic exercise and meditative movement therapies (MMT) have gained attention for their role in pain alleviation through different anti-inflammatory and antioxidant mechanisms. In this review, we aim to elucidate the different mechanisms of HBOT and aerobic exercise in attenuating pain as adjuvant therapy in the multidisciplinary treatment strategy of chronic pain, and more particularly fibromyalgia.","{'Year': '2019', 'Month': 'Jan'}","in this review , we aim to elucidate the different mechanisms of hbot and aerobic exercise in attenuating pain as adjuvant therapy in the multidisciplinary treatment strategy of chronic pain , and more particularly fibromyalgia .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">in this review , we aim to elucidate the different mechanisms of hbot and aerobic exercise in attenuating pain as adjuvant therapy in the multidisciplinary treatment strategy of chronic pain , and more particularly fibromyalgia .</div>"
To evaluate the effect of physician specialty regarding diagnosis and treatment of fibromyalgia ( FM ) and assess the clinical status of patients initiating new treatment for FM using data from Real-World Examination of Fibromyalgia : Longitudinal Evaluation of Costs and Treatments .,Variations in the management of fibromyalgia by physician specialty: rheumatology versus primary care.,https://pubmed.ncbi.nlm.nih.gov/27799842/,To evaluate the effect of physician specialty regarding diagnosis and treatment of fibromyalgia (FM) and assess the clinical status of patients initiating new treatment for FM using data from Real-World Examination of Fibromyalgia: Longitudinal Evaluation of Costs and Treatments.,27799842,,,To evaluate the effect of physician specialty regarding diagnosis and treatment of fibromyalgia (FM) and assess the clinical status of patients initiating new treatment for FM using data from Real-World Examination of Fibromyalgia: Longitudinal Evaluation of Costs and Treatments.,{'Year': '2016'},to evaluate the effect of physician specialty regarding diagnosis and treatment of fibromyalgia ( fm ) and assess the clinical status of patients initiating new treatment for fm using data from real-world examination of fibromyalgia : longitudinal evaluation of costs and treatments .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">to evaluate the effect of physician specialty regarding diagnosis and treatment of fibromyalgia ( fm ) and assess the clinical status of 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 initiating new treatment for fm using data from real-world examination of fibromyalgia : longitudinal evaluation of costs and treatments .</div>"
Memantine in the treatment and prophylaxis of bipolar II disorder and comorbid fibromyalgia : a case report .,Memantine in the treatment and prophylaxis of bipolar II disorder and comorbid fibromyalgia: a case report.,https://pubmed.ncbi.nlm.nih.gov/24847998/,"Memantine in the treatment and prophylaxis of bipolar II disorder and comorbid fibromyalgia: a case report. We have recently reported that memantine has a clinically relevant antimanic and long-lasting mood-stabilizing effect in treatment-resistant bipolar disorders, both as augmenting agent and as monotherapy. We have also observed an acute antimanic and sustained mood-stabilizing effect in a small number of patients with bipolar I disorder who had had minimal previous pharmacotherapy. In this article, we report the case of a young woman suffering from bipolar II disorder with associated fibromyalgia, in whom memantine showed an acute antimanic and a long-term prophylactic effect on both bipolar disorder as well as the associated fibromyalgia syndrome.",24847998,2015-01-29,"['Dopamine Agents', 'Memantine']","We have recently reported that memantine has a clinically relevant antimanic and long-lasting mood-stabilizing effect in treatment-resistant bipolar disorders, both as augmenting agent and as monotherapy. We have also observed an acute antimanic and sustained mood-stabilizing effect in a small number of patients with bipolar I disorder who had had minimal previous pharmacotherapy. In this article, we report the case of a young woman suffering from bipolar II disorder with associated fibromyalgia, in whom memantine showed an acute antimanic and a long-term prophylactic effect on both bipolar disorder as well as the associated fibromyalgia syndrome.","{'Year': '2014', 'Month': 'May'}",memantine in the treatment and prophylaxis of bipolar ii disorder and comorbid fibromyalgia : a case report .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    memantine
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 in the treatment and prophylaxis of bipolar ii disorder and comorbid fibromyalgia : a case report .</div>"
"Individual patient data from four randomised trials in fibromyalgia ( 2575 patients ) lasting 8 - 14weeks were used to calculate percentage pain reduction for each completing patient ( 1858 ) , divided into one of five groups according to pain reduction , irrespective of treatment : substantial benefit - 50 % pain reduction ; moderate - 30 % to & lt;50 % ; minimal - 15 % to & lt;30 % ; marginal - 0 % to & lt;15 % ; worse - & lt;0 % ( increased pain intensity ) .",Fibromyalgia: Moderate and substantial pain intensity reduction predicts improvement in other outcomes and substantial quality of life gain.,https://pubmed.ncbi.nlm.nih.gov/20347225/,"Chronic pain is associated with a range of other problems, including disturbed sleep, depression, anxiety, fatigue, reduced quality of life, and an inability to work or socialise. We investigated whether good symptom control of pain (using definitions of moderate and substantial benefit) is associated with improvement in other symptoms. Individual patient data from four randomised trials in fibromyalgia (2575 patients) lasting 8-14weeks were used to calculate percentage pain reduction for each completing patient (1858), divided into one of five groups according to pain reduction, irrespective of treatment: substantial benefit - 50% pain reduction; moderate - 30% to &lt;50%; minimal - 15% to &lt;30%; marginal - 0% to &lt;15%; worse - &lt;0% (increased pain intensity). We then calculated change from baseline to end of trial for measures of fatigue, function, sleep, depression, anxiety, ability to work, general health status, and quality-adjusted life year (QALY) gain over a 12-month period. Substantial and moderate pain intensity reductions were associated with statistically significant reduction from baseline by end of trial in all measures, with values by trial end at or approaching normative values. Substantial pain intensity reduction resulted in 0.11 QALYs gained, and moderate pain intensity reduction in 0.07 QALYs gained over a 12-month period. Substantial and moderate pain intensity reduction predicts broad beneficial outcomes and improved quality of life that do not occur without pain relief. Pain intensity reduction is a simple and effective predictor of which patients should continue treatment, and which should discontinue and try an alternative therapy.",20347225,2010-08-10,"['Analgesics', 'Pregabalin', 'gamma-Aminobutyric Acid']","Chronic pain is associated with a range of other problems, including disturbed sleep, depression, anxiety, fatigue, reduced quality of life, and an inability to work or socialise. We investigated whether good symptom control of pain (using definitions of moderate and substantial benefit) is associated with improvement in other symptoms. Individual patient data from four randomised trials in fibromyalgia (2575 patients) lasting 8-14weeks were used to calculate percentage pain reduction for each completing patient (1858), divided into one of five groups according to pain reduction, irrespective of treatment: substantial benefit - 50% pain reduction; moderate - 30% to <50%; minimal - 15% to <30%; marginal - 0% to <15%; worse - <0% (increased pain intensity). We then calculated change from baseline to end of trial for measures of fatigue, function, sleep, depression, anxiety, ability to work, general health status, and quality-adjusted life year (QALY) gain over a 12-month period. Substantial and moderate pain intensity reductions were associated with statistically significant reduction from baseline by end of trial in all measures, with values by trial end at or approaching normative values. Substantial pain intensity reduction resulted in 0.11 QALYs gained, and moderate pain intensity reduction in 0.07 QALYs gained over a 12-month period. Substantial and moderate pain intensity reduction predicts broad beneficial outcomes and improved quality of life that do not occur without pain relief. Pain intensity reduction is a simple and effective predictor of which patients should continue treatment, and which should discontinue and try an alternative therapy.","{'Year': '2010', 'Month': 'May'}","individual patient data from four randomised trials in fibromyalgia ( 2575 patients ) lasting 8 - 14weeks were used to calculate percentage pain reduction for each completing patient ( 1858 ) , divided into one of five groups according to pain reduction , irrespective of treatment : substantial benefit - 50 % pain reduction ; moderate - 30 % to & lt;50 % ; minimal - 15 % to & lt;30 % ; marginal - 0 % to & lt;15 % ; worse - & lt;0 % ( increased pain intensity ) .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">individual 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patient
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 data from four randomised trials in fibromyalgia ( 2575 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 ) lasting 8 - 14weeks were used to calculate percentage pain reduction for each completing 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patient
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 ( 1858 ) , divided into one of five groups according to pain reduction , irrespective of treatment : substantial benefit - 50 % pain reduction ; moderate - 30 % to &amp; lt;50 % ; minimal - 15 % to &amp; lt;30 % ; marginal - 0 % to &amp; lt;15 % ; worse - &amp; lt;0 % ( increased pain intensity ) .</div>"
These RCTs assessed 120 treatment interventions in 7789 patients diagnosed with primary fibromyalgia .,A meta-analysis of the efficacy of fibromyalgia treatment according to level of care.,https://pubmed.ncbi.nlm.nih.gov/18627602/,"We identified a total of 594 articles. Based on titles and abstracts, 102 full articles were retrieved, 33 of which met the inclusion criteria. These RCTs assessed 120 treatment interventions in 7789 patients diagnosed with primary fibromyalgia. Of them, 4505 (57.8%) were included in the primary care group of our study and 3284 (42.2%) in the specialised intervention group. The sample was mostly made up of middle-aged women, who have had fibromyalgia for a mean period of 6 to 10 years. The mean effect size of the efficacy of the 120 treatment interventions in patients with fibromyalgia compared with controls was 0.49 (95% confidence interval [CI] = 0.39 to 0.58; p &lt; 0.001). In the primary care group it was 0.46 (95% CI = 0.33 to 0.58) while in specialised care it was 0.53 (95% CI = 0.38 to 0.69), with no statistical significance in the differences. We analysed the efficacy of treatments by comparing primary and specialised care in the different fibromyalgia groups and there were no significant differences. The variables of the studies that affected the improvements in the efficacy of fibromyalgia treatment were low quality of the studies and a shorter duration of treatment. However, both factors were biased by the heterogeneity of the studies. Other variables that also improved outcome and were not biased by the heterogeneity of the studies, were younger age of the patients and shorter duration of the disorder. On the contrary, gender and type of treatment (pharmacological vs. psychological) did not affect outcome.",18627602,2009-02-06,,The aim of this paper was to compare the efficacy of the treatments for fibromyalgia currently available in both primary care and specialised settings.,{'Year': '2008'},these rcts assessed 120 treatment interventions in 7789 patients diagnosed with primary fibromyalgia .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">these rcts assessed 120 treatment interventions in 7789 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 diagnosed with primary fibromyalgia .</div>"
